    ,Sales & Services Revenue ,Gross Profit ,"Selling, General & Admin  ",Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP  ",Diluted Weighted Avg Shares ,"Diluted EPS, GAAP  ",EBITDA ,EBITDA Margin (%) ,Profit Margin (%) ,Sales per Employee ,Depreciation Expense ,"Cash, Cash Equivalents & STI  ",Cash & Cash Equivalents ,Accounts & Notes Receiv ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net  ","Property, Plant & Equip  ",Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Cash from Investing Activities ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
10,5.51,6.67,9.16,-55.56,2.06,3.9,-6.06,10.6,-5.74,10.23,1.13,-4.15,-1.53,-1.67,-11.88,-9.56,-22.17,-18.25,-8.81,-11.73,-1.64,7.89,28.94,2.55,-4.32,-8.52,-0.31,7.47,7.89,7.62,4.24,12.41,-67.39,-30.48,-27.79,-27.79,-4.32,-4.48,25.7,74.09,-24.53,-11.46,7.3,3.9,-11.88,28.39,-263.13,16.26,-30.36,-109.35,8.11,-4.57,-142.92,-30.36,24.57,76.33,11.9,0.6604782813232062
11,33.26,45.62,10.33,-67.87,62.77,64.92,-3.75,71.34,-3.78,71.4,55.45,16.65,23.76,27.2,2.06,-31.12,-8.09,37.55,25.28,-6.18,7.27,5.99,14.88,19.98,8.37,29.48,19.06,10.58,-2.14,6.06,11.36,12.97,-62.84,-140.15,-3.44,-3.44,8.37,-3.24,20.64,24.94,-10.9,-21.2,4.76,64.92,2.06,-54.2,-186.31,28.96,51.66,239.12,18.73,7.52,-63.01,51.66,26.7,-7.16,-21.8,0.0775541489722171
12,7.79,11.74,14.2,-229.46,9.06,5.41,-2.91,8.57,-3.2,8.89,8.57,0.72,-2.21,1.22,-1.6,-22.89,-32.32,18.3,50.4,0.42,6.79,4.31,11.42,0.55,0.5,17.08,22.71,-9.3,-7.84,-8.82,4.92,13.05,-155.16,-6915.34,-19.68,-19.68,0.5,-2.94,7.4,33.72,-20.08,-18.17,6.49,5.41,-1.6,236.48,-124.43,17.41,-3.4,53.69,5.34,18.63,183.73,-3.4,19.89,-17.51,11.38,-0.0696135762905395
13,-2.8,-0.96,-0.65,69.16,-4.51,-2.81,-2.91,0.1,-3.14,0.34,-3.62,-0.84,-0.01,-0.99,3.74,27.43,26.72,0.09,-30.76,6.03,3.79,0.12,18.98,-3.83,-0.05,-2.35,-5.63,-3.72,1.44,-2.01,-3.86,13.82,-93.02,3.09,22.64,22.64,-0.05,-2.47,-15.87,-31.4,22.7,12.36,-1.83,-2.81,3.74,-14.32,-648.08,-9.5,2.34,-116.57,-13.26,-2.04,-152.59,2.34,-10.64,28.95,-6.88,0.2477754666898404
14,14.31,16.78,23.44,-187.31,-20.59,-19.49,-0.04,-19.46,0.06,-19.54,6.24,-7.06,-29.57,-7.28,25.59,-45.11,-58.59,9.82,81.63,-4.27,4.61,5.38,41.87,27.63,13.44,21.92,32.28,11.16,38.4,19.76,25.3,111.79,10.98,-260.04,-2.05,-1.84,13.44,-0.27,99.7,103.45,-272.64,-27.64,23.29,-19.49,25.59,-477.83,-292.98,20.08,-6.79,229.53,4.9,-208.55,-199.16,-6.79,24.81,-25.24,49.15,-0.2105157844213865
15,10.48,13.7,22.94,-19.62,-9.0,2.23,0.69,1.53,0.71,1.51,-2.54,-11.78,-7.47,9.26,15.99,48.54,86.74,6.96,-27.57,6.5,-1.22,3.7,-2.13,-1.71,1.37,13.69,-10.32,-3.86,14.32,2.77,-3.34,12.26,10.46,90.01,9.16,9.12,1.37,1.51,-43.67,-48.38,-81.08,18.76,1.11,2.2,15.99,44.8,-99.84,2.68,46.93,-102.14,-91.12,453.76,-170.65,46.93,-3.14,10.94,0.44,0.217793962660066
16,2.63,6.19,-5.46,281.56,20.47,26.09,1.16,24.65,1.6,24.11,26.83,23.58,22.86,2.63,-8.56,87.39,58.56,-0.92,0.85,31.78,2.4,5.06,-2.41,-1.63,11.54,0.41,-14.21,50.21,10.03,33.9,13.07,19.74,15.51,38.37,9.33,9.33,11.54,0.4,12.46,2.87,-269.13,53.61,2.56,26.12,-8.56,102.83,-174404.87,3.84,20.37,-2431.5,2970.16,-111.89,23.13,20.37,0.54,9.4,-17.65,0.0688939012883749
17,-45.21,-52.3,-42.48,-94.88,-59.75,-60.04,-1.08,-56.33,-1.13,-56.31,-61.03,-28.87,-21.16,-27.74,-71.58,-46.63,-67.83,-47.64,-5.76,-38.55,-26.76,-32.01,-35.88,-33.99,-36.12,-45.38,-28.41,-81.27,-47.1,-69.87,-56.25,2.5,-8.99,-44.01,-5.8,-5.77,-36.12,-1.81,-68.1,-66.15,522.07,-14.16,-24.18,-56.8,-38.24,-89.04,-33.49,-64.31,-36.22,-35.39,-32.11,-1035.07,-284.87,-36.22,-71.02,207.47,-17.39,-0.0564462899771158
18,-7.33,-6.6,-5.85,-25.0,-0.12,-27.78,-2.7,-8.88,-2.99,-8.61,-4.62,2.92,-4.32,-16.96,-29.84,-44.92,16.92,-10.04,2.28,-20.71,0.51,-1.85,12.26,9.74,-3.91,-8.96,10.78,0.59,18.89,11.31,11.03,2.78,4.07,151.14,-14.48,-14.36,-3.91,-2.59,22.55,43.1,-39.58,-28.43,11.59,-11.34,-9.95,25.19,-60.39,10.56,-5.94,-94.86,36.76,-59.05,-110.01,-5.94,19.23,8.64,24.69,0.0869306089514012
19,0.78,5.7,3.91,-490.12,26.41,51.42,-1.32,96.24,-1.38,96.35,4.63,3.82,92.15,4.87,8.29,37.33,23.09,-4.68,-55.97,-7.25,-3.45,-1.97,-12.74,4.14,-0.07,4.95,-12.78,72.27,-14.61,17.92,1.45,2.83,12.6,31.76,-1.46,-1.45,-0.07,-2.35,5.76,7.32,9.45,6.34,-3.9,-30.69,-4.91,-79.88,-68.16,-19.29,3.06,-300.99,1.91,-18.45,55.4,3.06,-28.56,13.5,-58.32,0.0259837067638704
20,2.2,1.47,-1.67,-660.76,-55.61,-59.21,-1.27,-67.94,-1.53,-67.86,4.59,2.34,-69.03,0.83,-8.49,206.53,272.33,-4.97,15.2,89.16,-0.44,-0.14,-0.48,-4.44,27.68,-10.43,-27.5,252.26,-5.26,135.58,60.38,2.3,-0.75,9.09,-3.17,-2.86,27.68,0.01,-15.35,-12.86,-10.69,160.91,1.35,-13.14,-8.08,2867.16,869.87,7.99,0.99,-161.08,-76.67,-598.52,1141.37,0.99,12.18,-21.13,241.17,-0.2185571668322355
21,31.35,27.26,36.65,-128.5,57.89,-66.79,17.81,-71.08,17.94,-71.11,4.61,-20.36,-74.06,-0.49,259.09,-48.81,-49.48,61.61,-27.25,-24.76,33.34,23.44,176.21,116.7,44.78,61.06,33.81,31.57,95.96,43.3,41.33,78.14,-6.21,-16.54,50.44,50.11,44.78,18.38,446.87,264.32,-322.82,-43.77,32.0,-65.31,123.28,-92.1,-226.57,73.9,1.25,3778.23,-77.59,-147.38,-166.15,1.25,113.02,14.29,410.4,0.3260829872807522
22,11.64,18.73,6.88,-253.86,28.78,561.19,1.03,391.35,1.2,390.55,45.94,30.73,344.68,7.3,10.28,-57.48,-59.14,-1.28,-7.05,-27.37,-0.58,2.89,-7.42,-6.35,-11.9,7.4,1.12,-28.85,-10.52,-24.29,-19.27,1.32,2.43,25.14,-1.21,-1.21,-11.9,0.69,-15.09,-14.06,-1.85,-28.18,4.04,396.44,8.51,410.83,-107.73,13.11,22.82,-85.9,103.42,96.76,-41.61,22.82,10.62,9.58,-77.22,0.3529912650947017
23,4.34,4.48,0.22,-41.44,41.91,57.97,0.57,54.82,0.62,54.74,8.92,4.39,49.23,0.44,-11.11,1.32,0.42,4.69,13.9,7.07,6.28,6.96,-1.77,-0.61,1.06,6.59,20.54,-10.04,2.81,-6.25,0.37,-49.27,5.24,11.59,1.85,1.88,1.06,0.39,-9.18,-10.86,-29.83,-11.17,3.88,55.7,-8.05,-4.49,799.32,-2.6,17.5,33.85,201.68,-58.72,-100.59,17.5,-8.32,20.36,-37.45,-0.0679791116918953
24,8.48,4.99,-0.71,-14.51,21.85,21.26,0.28,21.57,0.28,21.57,15.08,6.09,12.39,6.49,10.12,72.66,77.15,18.23,4.54,30.47,12.33,11.87,-2.41,-0.22,6.87,24.53,9.61,11.56,-1.18,7.44,8.09,1.22,6.89,5.68,5.46,5.44,6.87,0.5,-16.6,-20.9,-49.62,19.03,1.87,21.91,10.38,26.76,-32.98,28.76,32.91,22.04,-43.87,-35.21,8984.38,32.91,27.26,-3.27,5.62,0.1178181514001486
25,24.47,25.16,16.79,-44.99,65.28,58.15,0.11,57.13,0.17,57.04,37.76,10.68,26.39,20.06,-3.99,43.38,43.3,1.14,25.66,18.58,-0.78,3.04,-2.54,-2.21,3.65,5.68,10.06,-6.06,-4.8,-5.68,-0.94,1.35,14.12,-6.39,9.21,9.15,3.65,-0.4,-30.72,-36.53,-100.85,7.74,3.67,57.31,6.34,-28.42,-13.57,33.31,-13.41,-9.35,470.47,97.7,4.27,-13.41,51.08,5.97,-15.25,0.0363559231937149
26,1.34,-0.11,-0.67,-73.83,1.16,-1.95,-1.24,-0.72,-1.4,-0.56,-2.79,-4.08,-3.25,-0.42,-1.66,-0.77,0.85,36.9,6.195,4.06,2.27,4.38,-4.6,-3.42,-1.01,7.18,18.19,-15.27,-15.82,-15.43,-4.18,0.98,11.83,-3.86,2.47,2.45,-1.01,-1.49,-16.48,-18.48,6341.28,-11.95,1.77,-1.95,-7.66,29.5,97.02,-9.04,-5.73,-13.35,65.07,38.99,-93.24,-5.73,-9.76,-16.05,-7.23,-0.0123906217715344
27,-8.12,-9.7,-2.66,-432.14,-19.77,-17.45,-0.74,-16.84,-0.85,-16.74,-16.41,-9.02,-10.16,-7.31,61.1,-28.43,-30.22,-0.68,6.195,-10.13,10.83,8.51,0.78,2.7,-1.64,-3.6,-10.64,-5.93,-8.83,-6.8,-8.38,0.65,6.52,-2.63,5.23,5.21,-1.64,-0.21,12.94,7.35,75.39,0.58,-0.87,-17.45,-0.73,-14.44,62.94,-24.21,23.92,80.06,-67.67,-7.14,-1545.37,23.92,-35.17,19.66,-8.19,-0.2196987550157116
28,28.99,28.21,27.1,141.92,34.44,100.43,-1.03,102.53,-0.9,102.25,29.08,0.06,55.38,22.53,0.8,29.59,-24.97,34.91,22.39,30.01,15.65,17.23,1.96,2.99,12.2,20.53,26.47,20.11,27.94,21.56,23.29,4.0,12.85,-28.71,6.75,6.75,12.2,-3.97,192.9,174.39,1.52,2.8,5.28,100.43,3.65,-74.32,-112.36,-0.43,41.85,-22.56,316.99,-145.07,-365.99,41.85,-5.49,-24.12,-50.32,-0.29095922912453
29,10.95,11.24,10.61,121.13,9.76,7.51,-4.16,12.17,-4.17,12.18,12.08,1.02,-3.11,1.92,-40.62,17.98,31.95,14.44,16.35,17.27,17.59,18.46,5.05,5.98,10.44,12.77,17.1,-0.57,23.21,4.07,8.79,12.03,9.16,71.85,11.38,11.38,10.44,-2.06,-32.49,-39.39,11.67,0.14,8.86,7.51,-7.7,431.5,-443.3,38.66,23.96,-34.67,-22.58,155.67,-190.06,23.96,41.31,-32.84,28.98,-0.0815146276924088
30,4.45,3.75,8.37,-63.87,8.07,-0.01,-0.55,0.54,-0.24,0.23,0.67,-3.62,-4.26,-6.98,13.6,21.52,44.02,-2.7,-22.01,14.85,25.86,21.23,6.4,8.11,10.94,-8.64,1.68,-0.54,19.56,4.1,3.16,10.34,7.26,2.54,15.25,15.25,10.94,0.53,-86.06,-87.9,24.2,12.95,12.28,-0.01,10.94,-1.63,-86.61,-2.83,28.9,10.2,-57.16,-57.35,82.63,28.9,-7.84,26.05,-2.83,0.1988047707847313
31,-7.91,-11.51,9.71,59.16,-68.17,-65.18,1.34,-65.64,2.14,-65.91,-47.84,-43.36,-62.19,-13.38,560.19,-10.3,-41.44,-2.82,54.95,-6.59,-119.3,-52.83,31.09,12.25,4.07,5.2,19.96,0.16,16.66,4.54,10.47,11.65,-1.06,50.11,0.89,0.89,4.07,0.43,845.13,836.78,-28.21,-22.14,6.31,-65.18,7.16,-3.97,1802.38,-23.2,-30.51,41.11,154.2,138.21,-236.04,-30.51,-21.59,125.47,120.55,0.2931594942651225
32,2.26,1.62,3.48,-23.51,-4.01,-12.56,-0.7,-11.95,-0.97,-11.71,-5.68,-7.77,-14.5,-3.07,-2.38,17.83,33.89,-1.34,-0.37,13.76,0.56,19.0,-0.37,-2.38,3.91,10.05,64.55,-39.23,-4.28,-28.88,10.11,11.37,-0.28,-117.56,0.54,0.54,3.91,0.25,-41.58,-41.89,4.15,-30.87,5.5,-12.56,-2.38,-2.59,95.41,11.81,-21.25,-58.34,-37.89,-9.24,-149.46,-21.25,18.27,18.57,27.87,0.100188445890853
33,15.64,14.93,3.92,-56.63,155.58,148.29,0.18,147.85,-0.26,148.94,71.21,48.06,114.72,4.03,8.25,6.65,-21.55,13.55,-40.37,4.76,42.56,0.29,12.45,11.66,8.72,-3.7,-11.83,109.34,0.07,65.79,17.38,10.76,4.98,1988.95,3.56,3.56,8.72,0.07,159.67,150.74,-31.45,18.82,11.15,148.29,8.25,-8.51,-49.53,14.12,24.68,203.31,23.8,-60.45,-175.84,24.68,12.75,9.16,-54.04,0.2994256448642081
34,22.08,24.27,12.31,84.48,64.24,85.65,-0.08,85.81,-0.56,86.71,46.58,20.07,52.07,7.99,-2.34,19.39,15.37,23.96,51.69,21.11,59.81,3.66,1.04,-0.54,8.36,11.12,27.02,-0.27,-5.88,-1.62,11.8,10.31,11.87,2.67,6.05,6.05,8.36,-0.67,-13.58,-18.5,21.14,-4.65,13.05,85.65,-2.34,15.67,77.38,49.69,10.2,-35.5,101.7,443.49,-167.86,10.2,55.38,-22.24,-19.37,0.0005619967961354
35,24.72,24.96,13.44,-46.53,48.95,44.93,-0.95,46.32,-0.63,45.85,36.77,9.66,16.21,8.99,-1.67,22.23,128.03,46.21,-14.41,24.11,12.21,14.79,7.58,6.12,14.39,29.5,25.46,-1.09,17.28,3.14,15.02,10.09,17.98,-35.59,13.94,13.94,14.39,-0.65,-147.67,-141.84,16.12,-1.07,14.43,44.93,-1.67,26.31,29.04,32.42,-12.6,-53.87,1.33,8.53,763.31,-12.6,37.02,35.32,-8.63,0.5079859755376148
36,23.67,24.54,19.25,52.67,30.7,52.94,-0.53,53.76,-0.62,53.9,27.78,3.32,23.67,4.08,6.29,-44.52,-28.76,8.01,48.76,-32.99,0.37,14.74,86.97,90.89,29.12,23.51,21.93,119.24,47.06,100.35,54.82,11.87,23.42,32.47,10.66,10.66,29.12,-0.73,-684.49,-628.16,-298.67,-45.04,18.83,52.94,6.29,35.5,9.14,38.33,49.66,957.92,97.42,-99.53,-151.43,49.66,37.59,-2.69,-9.56,0.353402034705563
37,23.71,21.23,22.56,36.32,14.71,13.92,-1.02,15.09,-1.2,15.31,22.15,-1.26,-7.91,16.73,80.31,29.36,61.33,16.66,150.61,33.72,-16.67,20.27,2.11,2.56,10.62,20.1,90.44,-76.02,7.32,-60.02,8.78,14.41,25.5,26.94,12.48,12.48,10.62,-1.09,-40.05,-46.7,-58.07,-29.78,5.98,13.92,80.31,22.48,-78.47,9.73,25.28,-90.29,35.4,52810.27,-254.21,25.28,8.63,10.04,-3.68,0.1690074410949691
38,15.19,17.34,10.52,-3.76,30.31,78.22,-1.03,80.07,-1.42,80.79,28.29,11.37,54.72,15.79,21.17,43.45,68.97,-8.91,-3.47,25.42,-298.1,54.99,7.21,13.11,16.96,7.66,-32.71,366.77,-15.24,169.83,7.7,13.1,32.25,-15.97,25.96,25.96,16.96,-0.69,-124.26,-119.26,-142.37,86.38,-0.52,78.22,21.17,-164.32,77.1,29.53,25.46,-9.03,10.45,18.4,78.89,25.46,29.86,18.66,-27.32,0.3537989893856543
39,22.67,24.89,18.58,59.02,36.61,-8.33,-0.83,-7.56,-0.82,-7.56,31.96,7.57,-25.27,6.28,4.1,-3.24,-14.16,34.33,28.97,6.2,21.79,5.59,14.96,15.19,12.18,17.36,25.76,-0.87,4.93,0.07,12.92,14.56,21.9,-13.29,11.56,11.56,12.18,-0.84,-177.29,-169.28,-78.88,-15.56,15.42,-8.33,4.1,-378.99,53.23,26.12,-21.24,750.0,31.62,23.31,-132.71,-21.24,29.86,15.54,37.58,-0.1350795039156394
40,11.54,10.93,14.45,-7.22,5.31,-1.37,-1.47,0.1,-2.08,0.73,5.52,-5.39,-11.57,-0.87,8.63,5.14,10.2,9.96,-14.36,3.99,12.18,9.4,-2.8,-2.26,-0.28,6.76,17.25,-11.58,0.43,-9.54,5.38,17.09,18.46,113.87,-5.04,-5.04,-0.28,-2.74,-138.35,-140.39,-170.99,-11.31,12.51,-1.37,8.63,42.32,17.89,8.51,33.94,-83.8,71.41,58.68,-174.2,33.94,7.3,-57.48,10.02,-0.2121071911826775
41,10.24,10.45,9.33,-265.56,13.17,14.13,-2.77,17.38,-2.55,17.11,8.17,-1.88,3.53,7.64,1.87,28.64,68.58,7.7,21.92,23.21,220.11,77.93,-6.41,2.9,9.62,-24.47,1.51,-0.96,6.7,0.48,1.12,17.41,17.75,-2.73,17.56,17.56,9.62,-1.52,3177.57,2688.06,-1254.8,21.37,2.41,14.13,1.87,-28.2,-205.65,-6.84,-18.55,-236.14,-34.85,-24.07,553.72,-18.55,-6.14,99.6,-18.37,0.5304937848504878
42,17.9,13.42,13.62,213.26,-55.44,-49.89,15.29,-98.81,15.52,-98.82,13.12,-4.06,-98.84,9.77,12.3,23.92,41.18,9.79,-15.94,7.5,1.33,1.74,-3.21,1.03,2.47,11.54,21.81,-6.97,-12.33,-8.33,-1.82,22.94,-4.62,-12.52,38.46,17.26,2.47,17.96,-5.13,-19.09,18.85,-11.75,7.41,-39.66,12.3,-12500.0,-211.43,58.61,-8.33,6.42,2.435,-215.74,-15.67,-8.33,-490.88,-16.37,11496.02,-0.2127255506633915
43,2.89,2.67,-0.26,-40.19,107.57,66.74,1.17,536.99,1.16,537.04,4.02,1.1,526.35,10.51,7.13,-28.57,-33.28,6.36,30.79,-2.31,2.03,0.8,86.59,16.22,11.9,14.21,4.72,17.37,40.22,22.91,18.03,0.75,9.35,15.74,-6.94,-5.82,11.9,-2.85,18.26,25.57,-39.74,-6.71,-6.9,44.48,7.13,-93.55,-92.04,-17.83,5.19,140.49,-119.01,-300.0,-179.84,5.19,-62.17,7.97,-87.25,-0.0278826524770704
44,5.91,-8.75,-23.02,104.96,-85.51,-123.47,-2.96,-1720.32,-3.58,-1730.73,-2.71,-8.14,-1584.61,14.39,10.46,-12.88,15.61,6.73,-18.44,-8.27,3.15,4.61,-34.57,-7.59,-7.73,-4.77,-1.5,-5.48,-0.13,-4.0,-3.41,0.21,-138.94,5.87,-24.15,-23.38,-7.73,-2.73,-4.49,24.65,-3.84,-6.87,-7.41,-123.33,10.46,4730.0,-230.77,0.59,-13.25,-79.15,7.89,-223.16,-122.79,-13.25,74.67,-9.36,-106.4,-0.2268681585004943
45,-12.4,-12.57,-26.91,-36.14,233.76,-302.78,-1.59,-112.7,-0.93,-112.62,-10.11,2.62,-114.27,-0.46,-7.17,-13.35,-16.65,-12.87,2.76,-8.58,-3.09,-2.58,4.7,-2.08,-3.39,-15.17,-8.01,1.89,-16.58,-3.42,-4.53,-0.96,-43.18,-1.3,-5.23,1.82,-3.39,-2.92,0.02,-1.77,15.37,-0.62,-12.0,-254.34,-7.17,-50.83,11.76,-6.41,-5.69,73.41,6.98,-34.68,-240.29,-5.69,-8.32,45.21,-848.71,0.0774644629921412
46,7.9,-4.9,-15.0,-33.05,50.38,61.1,-3.1,596.11,-3.21,596.92,-4.05,-11.07,525.19,28.31,-3.79,-2.68,-6.27,14.64,-9.03,1.12,0.16,1.14,-16.76,-4.69,-3.58,4.92,-8.57,-0.76,-5.11,-1.84,-3.42,-0.4,-441.33,14.02,-1.34,-4.26,-3.58,-2.58,-0.45,3.98,0.76,10.61,-15.91,108.17,-3.79,-55.68,1244.74,-34.03,1.41,-63.02,-4.35,11.09,-34.87,1.41,-130.95,16.1,-90.22,-0.1513473237307029
47,-12.73,-7.19,4.81,16.83,-28.81,-35.2,-4.58,-58.3,-4.83,-58.19,-8.01,5.41,-54.4,-23.12,-8.11,-22.33,-18.0,-8.71,-9.0,-12.27,-9.28,-8.11,20.29,-3.71,-5.43,-9.38,-0.67,-2.39,-7.91,-3.71,-3.04,3.67,-72.07,18.17,-26.29,-15.75,-5.43,-5.26,1.17,20.09,-9.84,-11.67,13.51,-33.57,-8.11,57.96,-57.24,19.15,14.48,260.67,56.49,-102.22,60.63,14.48,-22.67,-44.77,199.44,-0.2747833093309965
